transaction_id,account_id,date,description,category,amount,currency,balance_after,status,merchant_name,location,transaction_type
TX1001,ACC001,2025-04-01 00:00:00,Family Groceries,Food & Dining,-215.75,USD,15245.32,completed,Whole Foods,Boston,debit
TX1002,ACC001,2025-03-31 00:00:00,ATM Withdrawal,Cash & ATM,-100.0,USD,15461.07,completed,Bank ATM,Boston,withdrawal
TX1003,ACC001,2025-03-30 00:00:00,Monthly Salary,Income,4250.0,USD,15561.07,completed,TechCorp Inc,Boston,deposit
TX1004,ACC001,2025-03-28 00:00:00,Phone Bill Payment,Bills & Utilities,-95.99,USD,11311.07,completed,Verizon Wireless,,bill_payment
TX1005,ACC001,2025-03-27 00:00:00,Gas Station,Transportation,-65.45,USD,11407.06,completed,Shell,Boston,debit
TX1006,ACC001,2025-03-26 00:00:00,Home Improvement Store,Home & Garden,-145.32,USD,11472.51,completed,Home Depot,Boston,debit
TX1007,ACC001,2025-03-25 00:00:00,Mortgage Payment,Housing,-1865.75,USD,11617.83,completed,Mortgage Lender,,bill_payment
TX1008,ACC001,2025-03-25 00:00:00,Restaurant,Food & Dining,-85.43,USD,13483.58,completed,Olive Garden,Boston,debit
TX1009,ACC001,2025-03-24 00:00:00,Sporting Goods,Shopping,-120.35,USD,13569.01,completed,REI,Boston,debit
TX1010,ACC001,2025-03-23 00:00:00,Transfer to Savings,Transfers,-500.0,USD,13689.36,completed,Internal Transfer,,transfer
TX1011,ACC001,2025-03-20 00:00:00,Grocery Shopping,Food & Dining,-185.94,USD,14189.36,completed,Stop & Shop,Boston,debit
TX1012,ACC002,2025-04-01 00:00:00,Airline Tickets,Travel,-450.0,USD,3254.33,completed,Delta Airlines,,online
TX1013,ACC002,2025-03-29 00:00:00,Restaurant,Food & Dining,-75.54,USD,3704.33,completed,Legal Sea Foods,Boston,debit
TX1014,ACC002,2025-03-28 00:00:00,Transfer from Checking,Transfers,500.0,USD,3779.87,completed,Internal Transfer,,transfer
TX1015,ACC002,2025-03-25 00:00:00,Hotel Booking,Travel,-350.0,USD,3279.87,completed,Marriott Hotels,,online
TX1016,ACC003,2025-04-01 00:00:00,Interest Payment,Interest,66.32,USD,35210.5,completed,Bank Interest,,interest
TX1017,ACC003,2025-03-30 00:00:00,Transfer from Checking,Transfers,1000.0,USD,35144.18,completed,Internal Transfer,,transfer
TX1018,ACC003,2025-03-25 00:00:00,Property Tax Payment,Taxes,-1250.0,USD,34144.18,completed,City of Boston,,bill_payment
TX1019,ACC004,2025-04-01 00:00:00,Investment Growth,Interest,245.5,USD,187500.45,completed,Investment Returns,,interest
TX1020,ACC004,2025-03-25 00:00:00,Retirement Contribution,Investments,500.0,USD,187254.95,completed,Automatic Transfer,,transfer
TX1021,ACC005,2025-04-01 00:00:00,Family Groceries,Food & Dining,-168.32,USD,8750.75,completed,Trader Joe's,Boston,debit
TX1022,ACC005,2025-03-30 00:00:00,Monthly Salary,Income,3850.0,USD,8919.07,completed,Education Dept,Boston,deposit
TX1023,ACC005,2025-03-28 00:00:00,Clothing Store,Shopping,-125.45,USD,5069.07,completed,Macy's,Boston,debit
TX1024,ACC005,2025-03-25 00:00:00,Pharmacy,Health & Medical,-45.67,USD,5194.52,completed,CVS,Boston,debit
